Campaign Name,Ad Set Name,Ad Name,Day,Impressions,Results,Amount Spent (USD),Purchase,Signup,Link Clicks,Status reasons
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-06,34584,24,575.2901,14,24,194,active
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-23,31495,23,494.6203,14,23,187,active
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-25,32807,22,405.1159,9,22,184,active
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-26,30201,23,402.2864,14,23,179,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-07,31713,26,572.4368,10,26,178,limited by budget
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-22,36312,18,649.4175,10,18,178,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-05,26917,35,475.7214,21,35,176,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-27,26309,28,394.8247,19,28,167,indc
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-13,28298,22,455.1868,16,22,163,limited by budget
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-24,28139,19,388.0913,12,19,153,active
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-08,28143,23,382.0384,11,23,152,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-04,19477,17,360.5129,9,17,152,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-02,21780,24,401.9402,16,24,151,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-16,26905,21,405.0085,15,21,150,limited by budget
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-31,24542,19,399.5047,17,19,148,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-11,24485,19,434.2225,13,19,145,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-12,23516,24,426.2832,16,24,144,na
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-17,29656,17,428.2650,9,17,144,status check
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-18,23163,21,395.8395,12,21,142,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-20,25093,18,380.4864,14,18,142,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-19,21580,20,387.9242,12,20,138,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-03,23856,28,436.5266,15,28,137,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-15,23288,15,371.3413,7,15,135,active
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-30,24143,21,414.2013,14,21,135,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-01,15456,9,269.0864,7,9,134,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-09,25603,20,427.6084,7,20,134,indc
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-10,23949,16,417.7829,10,16,131,active
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-28,25924,18,397.2961,14,18,128,limited by budget
Prospecting -- Signups and Purchases,US_Interest_Basketball,HDLT_Test_Animated_Basketball,2020-12-29,24316,17,395.6843,12,17,122,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-03,13713,15,215.5771,9,15,120,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-14,25292,23,394.1323,12,23,115,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-26,14667,15,255.0584,10,15,105,indc
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-02,17348,14,263.4513,7,14,101,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-25,13841,14,244.8627,12,14,100,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-04,15154,13,292.9160,7,13,98,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-01,17553,15,360.8472,9,15,87,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-05,10802,11,214.6578,7,11,86,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-24,11833,17,222.6568,11,17,83,campaign paused; limited by budget
